start,end,relation
"""关云长""","""曹操""","工作转变, 政治变化"
"""关云长""","""参与战斗""","支援作战,英勇表现"
"""司马师""","""高贵乡公曹髦""","power succession, imperial mandate"
"""司马师""","""命令""",9
"""张卫""","""马超""",决策者与执行者关系，冲突与对抗
"""刘繇""","""命令与决策""","指挥与服从,谨慎性"
"""刘繇""","""接应与支援""","合作与支持,战略行动"
"""邓贤""","""黄忠""",战术指挥，军事行动
"""邓贤""","""张松""","strategic interaction, planning coordination"
"""孙坚""","""刘表""",对抗与敌对关系
"""孙坚""","""祖茂""","军事失利,阵亡将士"
"""孙坚""","""传国玉玺""","占有,历史宝物"
"""孙坚""","""朱儁""","领导与被封赏关系, 战斗合作"
"""孙坚""","""颜良、文丑""","预判敌手,潜在威胁"
"""张昭""","""提出保全请求""",8
"""张昭""","""孙权""","咨询与依赖,君臣关系""<SEP>""领导、协作"
"""张昭""","""吴太夫人""",幕僚、协助
"""张昭""","""担忧""",8
"""张昭""","""曹操""","担忧与转化意识, 辩论结果"
"""张昭""","""周瑜""","意见交流, 政策辩论"
"""张辽、许褚""","""曹操""","指挥与被指挥关系, 军事行动参与"
"""张辽、许褚""","""与蒋奇军队""","追击, 战胜"
"""张郃、高览""","""救援行动""","救援与防御关系, 军事行动参与"
"""张郃、高览""","""与曹操军队""","投降, 合并部队"
"""法孝直""","""孟达""",9
"""魏王曹丕""","""禅位于魏王""",9
"""夏侯尚""","""韩浩""","teamwork, pursuit and conquest"
"""夏侯尚""","""玄德""","informing, relationship"
"""冀州""","""CAO SHAO""","control transfer, governance"
"""左慈""","""魏王""",预言、法术挑战、劝说
"""左慈""","""曹操""","超自然能力展示,冲突"
"""狱吏""","""田丰""","guard, prisoner"
"""辛毗""","""曹操""","loyalty, leadership"
"""辛毗""","""审配""","struggle, conflict"
"""辛毗""","""司马懿""",解释与建议关系，信息传递
"""孙礼""","""魏将料吾乏粮""",8
"""赵颜""","""管辂""","following, instruction""<SEP>""predictive ability, validation"
"""蜀汉""","""东吴""",同盟关系，求救行为
"""蜀汉""","""对抗""",三国的权力斗争
"""街亭""","""司马懿""",9
"""街亭""","""马谡""",6
"""琅琊太守单子春""","""管辂""","intellectual interaction, expert recognition"
"""南斗""","""管辂""","star connection, fate prediction"
"""街亭之失""","""战争结果""",9
"""北斗""","""管辂""","star connection, fate prediction"
"""王必""","""金?、吉文然兄弟等""","联盟, 计划"
"""程普""","""周瑜""","军事实务协作""，""决策支持"
"""袁熙""","""袁尚""","brotherhood, military conflict"
"""袁谭""","""曹操""","军事冲突, 决战"
"""ZHANG LU'","""CAO CAO""","consultation, leadership"" <|-> ""10"
"""LUO GUAN'IN""","""CAO CAO""","counsel seeking, trust in astrologer"" <|-> ""8"
"""LU SU""","""CAO CAO""","reaction, relationship dynamics"" <|-> ""7"
"""汉帝""","""禅位给魏王""",8
"""汉帝""","""曹公""",权力与服从
"""吉平之子吉邈、吉穆""","""董承""","关联, 间接联系"
"""马谡""","""街亭失守""","strategy failure, impact on campaign"
"""马谡""","""孔明""",领导者与被惩罚者关系，军法实施
"""金?、吉文然兄弟等""","""耿纪、韦晃二人及其家僮""","支持, 合作"
"""王朗""","""孔明""","diplomacy, negotiation"
"""王朗""","""严白虎""","cooperation for survival, negotiation"
"""灭遗火""","""曹操""",9
"""申耽和申仪""","""街道围困""",8
"""巴西""","""张郃""","attack, target"
"""高翔""","""王平""","cooperation, strategy execution"
"""虞翻""","""孔明""","回应与辩论, 意见交流"
"""天荡山""","""黄忠、严颜""","战友协作, 守卫天荡山"
"""袁尚""","""派遣""","授权, 政治权力"
"""袁尚""","""吕旷、吕翔""","忠诚与服从,军事支援"
"""袁尚""","""审配""","loyalty, military leadership"
"""刘夫人""","""杀害""","妒恶, 权力争夺"
"""张勋""","""陈宫""",8
"""张勋""","""吕布""",军事对抗
"""太傅许靖""","""赵云""","strategic consultation, advising"
"""杜袭""","""黄忠""",军事行动、战斗胜利
"""吕旷、吕翔""","""向曹操报告失败情况""","汇报责任, 失败反馈"
"""文武众官""","""汉中王""","counsel, governance"
"""博士许慈""","""汉中王""","expertise, governance""<SEP>""scholarly insight, governance"
"""谏议郎孟光""","""汉中王""","counsel, governance""<SEP>""policy consultation, governance"
"""《三国演义》""","""反映内容""",9
"""张让""","""闵贡""","pursuer and target, justice enforcement"
"""张让""","""段珪""","co-conspirators, power seizure"
"""十常侍""","""何苗""","co-conspirator, involvement in conspiracy"
"""两家""","""纪灵""&""玄德""","conflict, negotiation"
"""两家""","""BUTLER""","mediator, resolution"
"""玄德(刘备)""","""曹操""",hero relationship
"""朕""/""先主""","""赵云""","counsel, defense strategy"
"""朕""/""先主""","""张飞""","loyalty, emotional connection"
"""朕""/""先主""","""秦宓""","decision-making, influence conflict"
"""襄阳城""","""蔡瑁、张允""",7
"""张宝""","""皇甫嵩""","失败, 逃跑和受伤"
"""魏延""/""WEI YAN""","""马超""","leadership dynamics, mutual trust and respect"
"""幽州太守刘焉""","""招军""","leadership, response to threat"
"""张角""","""玄德""",追逐和潜在战斗关系
"""甄氏""","""曹操""",8
"""何进""","""何后""","family relation, power acquisition"
"""何进""","""皇子协""","royal succession, child interest"
"""何进""","""吴匡""","subordinate and superior, active involvement"
"""何进""","""与张让、段珪等人的关系""","决策, 利益关系"
"""何进""","""与袁绍的关系""","合作, 决策建议"
"""何进""","""董卓""","权力斗争, 政治谋略"
"""范疆、张达""","""张飞""","背叛, 残害"
"""范疆、张达""","""先主""","复仇, 父亲的忠诚"
"""蜀地部队""","""出师伐吴""","军事行动, 政策实施"
"""马岱""","""孔明""","指导, 执行"
"""马岱""","""执行与领导""","执行能力, 领导力"
"""马岱""","""孟获""","策略与力量,控制与反抗"
"""杨仪""","""魏延""",9
"""杨仪""","""费袆""",9
"""杨仪""","""退兵计划""","遵命与实施, 计划与执行"
"""杨仪""","""姜维""","7""<SEP>8"
"""杨仪""","""孔明""","信托与责任, 领导与被授权者"
"""黄忠""","""角色与能力""",战场角色与战斗技能
"""黄忠""","""韩玄""",9
"""黄忠""","""魏延""","团队合作, 策略执行"
"""黄忠""","""刘备""","投降接纳,忠诚将领"
"""黄忠""","""孔明""","strategic insight, understanding"
"""黄忠""","""法正""",战术执行、战略依从
"""黄忠""","""曹操""","冲突,战斗"
"""DENG YU""","""DONG ZHUO""","strategic advice, pursuit"
"""DENG YU""","""LI DAN""","command, subordinate"
"""DENG YU""","""YUE JIN""","command, subordinate"
"""AI ETHICS""","""DATA PRIVACY""","ethics-data protection relationship"" <|""8"">"
"""张将军""","""督邮""","暴力冲突, 被动施害者"
"""督邮""","""关公""","道德原则, 对抗不正"
"""卢植""","""玄德""(刘备)",8
"""玄德""(刘备)","""关公""(关羽), ""张飞""","玄德和关公，张飞三人共同行动，并在战斗中相互协助.""|>|>""cooperation, unity"
"""曹操""(CAO CAO)","""刘备""","alliance, protection"
"""传国玉玺""","""袁绍""","要求归还,权力之争"
"""张苞""","""孔明""",7
"""张苞""","""姜维""",7
"""张苞""","""吴班军马""","职责, 同事关系"
"""张苞""","""关兴""","teamwork, strategic cooperation""<SEP>""同袍关系, 同时作为先锋"
"""张苞""","""谭雄""",9
"""张苞""","""御营""","reconnaissance, part of the force"
"""先主""","""李意""","请求帮助, 预言者与求助者关系"
"""百姓""","""曹操""","兵源使用, 宽容威胁"
"""陈仓城""","""郝昭""",9
"""张绣""","""曹操""","战败与反攻""<SEP>8"
"""张绣""","""贾诩""",策略提供者与接受方
"""张绣""","""刘表""","盟友与合作""<SEP>7"
"""刘璋""","""采纳或不采纳郑度的建议""","决策者与顾问,策略选择"
"""刘璋""","""张得""","representation, diplomatic mission"
"""刘璋""","""杨雄""","seeking advice, strategic consideration"
"""刘璋""","""王累""","loyalty issue, anti-invasion stance"
"""刘璋""","""刘备""","brotherhood, conflicting interests""<SEP>""collaborative leadership, state partnership"
"""张绣家人""","""贾诩""",8
"""乌桓触""","""曹操""","loyalty shift, political allegiance"
"""王双""","""魏国军队""",9
"""何太后""","""与十常侍的关系""","权力争夺, 建议与批评"
"""赵咨""","""孙权""",9
"""赵咨""","""曹操""",9
"""董后""","""与十常侍的关系""","权力欲望, 个人情绪"
"""曹公""","""辽""",建议与行动
"""李恢""","""东川张鲁""",建议者与接受者关系，策略执行
"""邢贞""","""孙权""","外交,封爵"
"""吴国""","""西蜀""",联盟关系
"""吴国""","""孙桓""",国家内部关系
"""麴义""","""斩将搴旗""","leading charge, courage"
"""李异""","""首关兴""",7
"""陈珪""","""陈登""","父子关系,合作谋略"
"""的卢马""","""玄德""",7
"""蔡夫人""","""蔡瑁""","supportive leadership, strategic collaboration"
"""张鲁""","""刘备""","opposition, regional rivalry"
"""张鲁""","""命令军队""","领导与决策,军事行动"
"""张鲁""","""命令李严""","领导者与下属,军事决策"
"""张鲁""","""杨松""","openness to advice, reliance on information""<SEP>""政治联盟，利益交换"
"""张鲁""","""夏侯渊""","领导,防务管理"
"""张鲁""","""曹操""","military action, conquest"
"""张鲁""","""事件""","threat, conflict"
"""张鲁""","""玄德""","territorial dispute, power struggle"
"""孙高、傅婴""","""孙权""","执行与服从,领导关系"
"""冯习""","""吴班""",8
"""冯习""","""关兴""","command, defense"
"""冯习""","""吴兵""","attack, confrontation"
"""徐氏""","""孙权""","暗示的策略参与,间接的影响关系"
"""苏飞""","""孙权""","判决,惩罚)"
"""祁山寨""","""孔明""",10
"""崔禹""","""关兴、张苞""",9
"""韩当""","""支援陆逊""","战场合作,决策参与"
"""吴班、吴懿""","""孔明""",10
"""凌统""","""甘宁""","仇恨,报复)"
"""甘宁""","""黄祖""","转变效忠,决裂关系""<SEP>7<SEP>冲突,对抗)"
"""甘宁""","""孙权""",8
"""甘宁""","""潘璋""",7
"""甘宁""","""鲁肃""","执行者-提供者关系"" <|"
"""甘宁""","""周瑜""","下属与上级关系"" <|"
"""甘宁""","""蔡中""",10
"""王垕""","""杜预""","协同作战,胜利贡献"
"""CAO CAO""","""RONG SHAN""","geopolitical tension, military threat"
"""LIU BIAO""","""RONG SHAN""","local governance, strategic planning"
"""曹洪""","""与何曼战斗""",8
"""曹洪""","""曹操""","command, alliance"
"""曹洪""","""张郃""","队伍关系,射击技巧"
"""曹洪""","""张?""","冲突, 军事决策"
"""MENG JI""","""CAO HUI""","alerting, warning"
"""RONG SHAN""","""LIU BEI""","strategic decision-making, location-based choice"
"""蔡瑁""","""赵云""",8
"""蔡瑁""","""刘表""","loyalty, familial ambition, conspiratorial role"
"""关兴、张苞""","""孔明""",10
"""吴军""","""李异和谢旌""","军事合作,对抗行动"
"""韩当、周泰""","""孙权""","loyalty to Sun Quan, defending against invasion"
"""诸葛恪""","""滕胤""","personal enmity, catalyst for murder"
"""诸葛恪""","""REPLACED""","succession, leadership transition"
"""绣""","""操""",8
"""马忠""","""蛮兵""","俘虏,对抗"
"""蒯越""","""曹操""",advice-giving to Cao Cao
"""蒯越""","""瑁""",decision-making cooperation
"""蒯越""","""蔡瑁、张允""",6
"""魏主曹睿""","""张郃""",7
"""魏主曹睿""","""司马懿""",请示和授权关系，权力结构
"""丁原""","""布""","背叛与复仇,斗争冲突"
"""夏侯霸""","""卑衍""","battle, conflict"
"""夏侯霸""","""姜维""","说服与结盟""，评分8"
"""徐州吕布""","""曹操""","军事决策,策略分析""<SEP>""战略决策，形势评估"
"""陈珪父子""","""曹操""","奖励与忠诚""<SEP>""建议与影响""<SEP>""建议与影响力""<SEP>""忠诚与赏赐"
"""檀溪""","""玄德""",9
"""剑阁""","""姜维""","strategic maneuvering, conquest"
"""大都督""","""陆逊""","指挥权,领导能力"
"""北原营地""","""诸葛亮""","战略部署,对敌行动"
"""丁管""","""李儒""","威胁与制裁,权力斗争"
"""陈留王协""","""董卓""","皇权更替,阴谋诡计"
"""刘琦""","""玄德""","leadership, strategy"
"""吴主孙权""","""DIED""","death, posthumous honor, burial"
"""吴主孙权""","""孔明""","联盟意向,政治策略""| 8"
"""秦朗""","""郑文""","战场对决,敌对关系""|7"
"""郑文""","""木牛流马""",8
"""庞统""","""玄德""","领导与谋士, 智策提供"
"""庞统""","""孔明之书""","疑虑,战略差异"
"""庞统""","""曹操""","交流信息, 获得信任""<SEP>""军事竞争,领导关系"
"""庞统""","""徐庶""","友情,策略交流"
"""庞统""","""孔明""","尊敬,赏识""<SEP>""引入新成员、合作"
"""庞统""","""鲁肃""","推荐,机会提供""<SEP>""荐才, 推动合作"
"""庞统""","""赤壁""","历史事件参与,军事策略贡献"
"""庞统""","""刘皇叔""",抉择与投靠，机会与考量
"""马良""","""询问与讨论""","咨询与合作"" < | >7"
"""水镜""","""单福(徐庶)""","推荐关系,"
"""水镜""","""伏龙、凤雏""","推荐与评价,"
"""伏龙、凤雏""","""玄德""","寻找与尊重,"
"""郑文的同乡中原人""","""孔明""",7
"""戴陵""","""张郃""","团队协作, 信息交流"
"""张?""","""玄德""","指导, 计谋分享"
"""魏兵""","""公孙渊兵""","conflict, warfare"
"""魏兵""","""坚守""",9
"""魏兵""","""诸葛亮""","conflict, combat"
"""魏兵""","""王平""",9
"""魏兵""","""孔明""","对抗, 战略策略""<SEP>""战略决策,对敌行动"
"""魏兵""","""岑威""","commandership, military strategy"
"""魏兵""","""张嶷、魏延、姜维、廖化、郭淮等人物""","conflict, opposing forces"
"""魏兵""","""张翼""","胜利,英勇行为"
"""魏兵""","""蜀兵""","enemy relationship, combat""<SEP>""军事冲突,交战""<SEP>""冲突,战争对抗""<SEP>""冲突结果,军事胜利"
"""魏国""","""曹丕""","决策,军事行动"
"""吕伯奢""","""曹操""","误会, 恐惧, 杀人"
"""BLOCKCHAIN""","""CYBERSECURITY""","technological security enhancement"" <|""7"">"
"""黄承彦""","""刘备""","传承, 战略共享"
"""木牛流马""","""诸葛亮""",领导与创新
"""木牛流马""","""孔明""","strategic utilization, innovation"
"""木牛流马""","""王平""","control, strategic execution"
"""南郡""","""曹仁""",">防守策略,地盘控制)"
"""南郡""","""东吴""","ambitions, territorial intent"
"""刘琮""","""投降行动""",决策与地理控制
"""刘琮""","""玄德""",6
"""刘琮""","""王威""",7
"""明公""","""玄德""",8
"""明公""","""云长""",9
"""蔡中郎""","""蔡邕""",6
"""韩馥""","""袁绍""",冲突与争夺权力
"""韩馥""","""JIZHOU""","power transition, leadership change"
"""韩馥""","""潘凤""","指挥决策, 上将派遣"
"""丞相神射""","""玄德""","praise, admiration"
"""东吴三路兵马""","""陆逊""","战略指导, 人员调动"
"""天子洪福耳""","""帝""","supernatural blessing, divine protection"
"""单福""","""提供方法来解除马的不祥之气""","建议, 解决方案"
"""单福""","""徐庶""",6
"""蜀兵与魏民相杂种田的活动""","""和平共处策略""",文化融合，长期策略
"""围场""","""宴于许田""","royal banquet, celebration"
"""差人""","""晓谕居民""",9
"""东门外""","""埋伏赵云""",9
"""伏完""","""皇丈亦知操贼之专横""","insight into political dynamics, concern for empire stability"
"""轲比能""","""鲜卑王国""","外交关系,潜在的军事联盟"
"""曹真""","""曹睿""","汇报,请求"
"""曹真""","""孔明""","strategy provision, influence on decision-making"
"""曹真""","""刘晔""","建议,参与决策"
"""曹真""","""司马懿""","权力共享,角色变化"
"""甘夫人""","""赵云""","protector, critical action"
"""五丈原战役""","""诸葛亮""","领导角色,战略决策"
"""糜夫人""","""赵云""","heroic protection, respect for motherhood"
"""王子服""","""董承""","忠诚, 友谊, 共同对抗"
"""后主""","""姜维""","loyalty, political influence"
"""后主""","""姜维、黄皓""",信息传递与沟通障碍，政治决策
"""后主""","""孔明""",忠诚、信任、领导关系
"""董允""","""孔明""","指导, 支持"
"""瑁""","""张允""",joint decision-making with Zhang Yun
"""张允""","""曹操""",promotion to governing positions under Cao Cao
"""羌人""","""姜维""","联盟与对抗""，评分7"
"""车胄""","""遇害""","assassination, conflict"
"""文聘""","""曹休""","队伍关系,竞争争夺"
"""王平、廖化、张嶷、张翼、吴懿等""","""孔明""","领导与下属, 信任与责任"
"""徐庶""","""曹操""",7
"""徐庶""","""玄德""",8
"""众将""","""孔明""","领导, 讨论"
"""众将""","""司马懿""",领导与下属关系，决定权与抗议
"""吴王""","""张温""",8
"""阿斗""","""赵云""","parental responsibility, protection desire""<SEP>10"
"""邓芝""","""张温""",6
"""邓芝""","""孔明""",任务分派与执行关系
"""张温""","""秦宓""",5
"""张温""","""天有头乎？天有耳乎？天有足乎？天有姓乎？""秦宓问天的多个问题，显示对自然和宇宙的深入探讨。)",9
"""张温""","""吕布""","权力斗争,联盟与背叛关系"
"""张温""","""董卓""","权力冲突,误会与复仇关系"
"""卧龙冈""","""GEO""","地点关联, 寻访目标"
"""陈式""","""孔明""","领导与被领导者关系, 战略指导"
"""韩嵩""","""俘虏释放""",权力释放与战略影响
"""秦宓""","""上至天文，下至地理等知识领域中的无所不通。",10
"""张杨、孔融""","""李傕、郭汜""","集团对抗,力量争夺"
"""朱灵、路昭""","""曹操""",领导、命令
"""西蜀""","""刘备""","leadership, military operation"
"""董寻""","""孙权""",6
"""徐盛""","""吴王孙权""",任务分配与指挥关系
"""徐盛""","""孔明""","冲突,竞争"
"""刘豫州""","""孔明""","支持与理解, 评价"
"""步骘""","""孔明""","自辩与解释, 观点争执"
"""魏主""","""陆逊用兵能力""",军事评价，战略洞察
"""毛皇后""","""曹睿""",宠爱与失宠，情绪变化
"""郭夫人""","""曹睿""",宠爱，共赏乐
"""薛综""","""孔明""","辩论,观点交锋""|>8"
"""东吴人马""","""诸葛亮""",10
"""南蛮""","""诸葛亮""",9
"""严酸""","""孔明""","学术辩论，质疑实学能力""|>6"
"""蒋琬""","""孔明""",8
"""费袆""","""孔明""",9
"""费袆""","""魏延""",7
"""关索""","""诸葛亮""",10
"""郭图""","""简雍""","工作伙伴, 顾问"
"""郭图""","""玄德""","交流, 决策讨论""|"
"""郭图""","""建议""","谋略分享, 决策建议"
"""都督""","""玄德""",">战略联盟,地盘争夺)"
"""曹爽""","""司马懿""","co-governance, power shift""<SEP>""政变企图,权力争夺""<SEP>8"
"""曹爽""","""李胜""","信使角色,信息收集"
"""曹爽""","""何晏""","advice provision, political concern"
"""鄂焕""","""孔明""",9
"""鄂焕""","""魏延""",9
"""鄂焕""","""高定""","command and loyalty, military leadership""<SEP>8"
"""鄂焕""","""雍闿""","betrayal, confrontation"
"""高定""","""孔明""","interaction, guidance""<SEP>8"
"""高定""","""朱褒""","capture, political maneuvering"
"""张翼""","""孔明""","策略制定, 合作"
"""张翼""","""司马懿""","竞争, 冲突"
"""许攸""","""曹操""",6
"""田丰""","""绍""","决策冲突, 冲动与惩罚"
"""田丰""","""袁绍""","military advisor, loyalty"
"""沮授""","""绍""","策略冲突, 权威与决策"
"""沮授""","""警报警告""","警告与被忽视的关系, 战略建议"
"""沮授""","""袁绍""","military advisor, loyalty, defeat"
"""刘岱、王忠""","""响应曹操命令""",7
"""王忠""","""刘岱""","领导与追随关系,战斗中的盟友""."
"""黄盖""","""曹操""",外交策略、背叛与忠诚冲突
"""黄盖""","""孔明""","strategy, manipulation""<SEP>""辩论,介入对话""|>7"
"""黄盖""","""参与诈降""",8
"""黄盖""","""江东名将""","competition, surrender attempt"
"""黄盖""","""周瑜""","strategy execution, cooperation"
"""黄盖""","""孙权""","指挥与服从关系"", ""军事合作"
"""金环三结元帅""","""孔明""","战略指导,军事策略"
"""董荼那""","""赵云""","capture, strategic execution"
"""赵云、魏延""","""孔明""","上层决策者与执行者关系, 指挥与被指挥"
"""桓范旧吏司蕃""","""太傅司马懿""",7
"""简雍""","""孙乾""",伙伴关系
"""王平、关索""","""孔明""","strategy planning, cooperation"
"""张嶷""","""蛮兵""","俘虏,对抗"
"""祢衡""","""曹操""","批评指责, 反抗行为"
"""蛮兵""","""孔明""","外交与和平,接纳与尊重"
"""瑜""","""孔明""","strategic opposition, wisdom vs. power"
"""毛?、""","""曹操""","military conflict, rivalry"
"""吕凯""","""孔明""","建议与采纳,知识与策略"
"""蒋干""","""曹操""","information relay, strategy deployment"
"""蒋干""","""周瑜""","尝试沟通, 影响策略"
"""管辂""","""曹操""","占卜师, 询问, 咨询""<SEP>9"
"""管辂""","""卜算能力""",9
"""钟会""","""邓艾""",7
"""钟会""","""关中精兵""",9
"""钟会""","""处分""",9
"""钟会""","""姜维""","军事对话, 梦境讨论""<SEP>""合作与计划""<SEP>""建议与合作"
"""钟会""","""司马昭""",7<SEP>8
"""黄祖""","""刘表""","派遣行动, 决策角色"
"""雍州""","""诸葛绪""","defense duty, loyalty"
"""吴硕""","""马腾""",组织决策、团队协商
"""蔡和""","""周瑜""","authority, decision-making"
"""蔡中、蔡和""","""丞相曹操""",背叛、间谍活动
"""蔡中、蔡和""","""曹操""","阴谋策划, 间谍行动"
"""董妃""","""曹操""","authority, death order"
"""曹操军队""","""许褚""",忠诚，领导与被领导者关系
"""朵思大王""","""孟获""","领导者与被指导者,联盟与合作""<SEP>8"
"""朵思大王""","""孟获、孟优""","联合与交流,社会关系"
"""胡遵""","""出兵""",9
"""毋丘俭""","""考虑战术""",8
"""秃龙洞""","""孟获""","防御与躲藏,地理位置关系"
"""毛?""","""荀彧""","信息交流,策略合作"
"""孙峻""","""滕胤""","confidential planner, accomplice"
"""孙峻""","""孙亮""","loyal supporter, executive"
"""万安隐者""","""伏波将军""","guidance, divinity"
"""万安隐者""","""孔明""","guidance, divine revelation"
"""万安隐者""","""朵氏洞主""","mediation, interaction"
"""哑军""","""孔明""","leadership, communication aid"
"""吴主孙亮""","""全后""","family relationship, political power struggle"
"""辽""","""刘使君""",提及与影响
"""徐质""","""领令""",领导与执行
"""魏师""","""受困""","被困与应对"" <|-6"
"""带来洞主""","""孟获""","信息传递,联盟构建"
"""带来洞主""","""木鹿大王""","建议与支援,战略联盟"
"""木鹿大王""","""孔明""","军事战术,对战策略"
"""三江城""","""孟获""","领地控制,交易中心"
"""洞主""","""孔明""","征服者与防御者,战略对峙"
"""融夫人""","""蜀兵""","对抗,战斗技能"
"""红油柜车""","""孔明""","军事策略,武器准备"
"""关云长（关羽）""","""刘备""",领导和辅助，战略合作
"""关云长（关羽）""","""孔明（诸葛亮）""",战略协作和执行
"""关云长（关羽）""","""曹操""",恩怨冲突、道德考量
"""兀突骨""","""藤甲军""",9
"""藤甲军""","""孟获""",9
"""关某""","""庞德""",9
"""关某""","""马超""",8
"""文钦""","""参与行动""",9
"""文钦""","""文鸯、文虎""",8
"""太史慈""","""孔融""",救援与合作
"""太史慈""","""刘玄德(刘备)""",救急与承诺
"""太史慈""","""太史亨""",6
"""太史慈""","""行动与策略""","主动性,战斗精神"
"""太史慈""","""投降于孙策""","投降行为, 人物关系转变"
"""太史慈""","""孙策""","alliance, cooperation"
"""颜良、文丑""","""弓弩手""","archers, action"
"""东南风""","""周瑜""","军事计划, 等待时机"
"""东南风""","""孔明""","预判, 风向"
"""诸葛诞""","""执行""",8
"""诸葛诞""","""蒋班、焦彝""",9
"""诸葛诞""","""坚守者""","守城,防御"
"""诸葛诞""","""司马昭""","军事联盟,敌对冲突"
"""郑袤""","""建议战略""",9
"""项城""","""防御要点""",9
"""赤兔马""","""李肃""","礼物馈赠, 劝说准备"
"""马腾""","""韩遂""",联盟与合作关系
"""马腾""","""李傕""",军事冲突关系
"""马腾""","""曹操""","召见与谈判、权力关系""<SEP>""忠义、反对派系斗争"
"""满伯宁""","""曹操""","联盟, 沟通"
"""吴侯""","""官吏""","administration management, loyalty"
"""吴侯""","""曹操""","联盟, 攻击"
"""吴侯""","""刘备""",政治关系，联盟构建
"""吴侯""","""周瑜""",领导、支援
"""曹睿""","""夏侯渊""","领导与军事顾问关系, 军事决策"
"""王经""","""髦""",领导与忠臣关系
"""陈泰""","""贾充""",建议者与被建议者关系
"""陈泰""","""狄道城""","military campaign, strategic target"
"""韩福""","""孔秀""",7
"""韩福""","""关公""",9
"""孔秀""","""关公""",7
"""卞喜""","""王植""","计划暗害,敌对关系"
"""普净""","""关公(关羽)""","引导,协助,洞察"
"""洮水得胜""","""邓艾""","strategic success, impact on strategy"
"""曹髦""","""司马孚""",哀悼与责任关系
"""二位夫人""","""关公(关羽)""","保护关系,家庭责任"
"""臣""","""受先帝托孤之重""",loyalty and responsibility
"""臣""","""安敢有异心""",commitment to loyalty
"""臣""","""提一旅之师，先破蜀，后伐吴""",strategy for conflict resolution
"""臣""","""南方已定，甲兵已足""",confirmation of regional stability and readiness for further actions
"""臣""","""北征，恐劳神思""",consideration of the ruler's well-being during critical missions
"""吴、蜀""","""奸计""",conflict with external forces
"""延""","""公""","决策, 争议"
"""公""","""夏侯惇""","冲突, 阻止行动"
"""贾充""","""成□和成济""",领导者与属下关系
"""贾充""","""晋主炎""","决策分歧,观点对比"
"""贾充""","""皓""","质询,对话"
"""华容道""","""曹操""",关键战役、生死考验
"""韩德""","""夏侯惇""","直接军事冲突关系, 战争中的对峙"
"""老翁""","""关公""",8
"""真知子莫若父也""","""关公""",7
"""从人""","""关公""",9
"""朱异""","""东吴先锋""","东吴,作战"
"""韩琼""","""赵云""","victory, combat skill"
"""王基""","""派兵""",8
"""韩瑶""","""赵云""","capture, reporting victory"
"""元绍""","""张飞""","displeasure, removal"
"""孔融""","""陈元龙""","advice, collaboration"
"""孔融""","""曹操""","忧虑, 保护行为""<SEP>9"
"""孔融""","""推荐祢衡""",8
"""魏军""","""夏侯惇""","command structure, military leadership"
"""魏军""","""夏侯尚和徐晃""",9
"""魏军""","""追击""","追赶, 安全担忧"
"""公孙瓒""","""CAO SHAO""","conflict emergence, territorial dispute"
"""公孙瓒""","""袁绍""","战略合作,诸侯联盟"
